x,y,description,id,category,type,imgNo,next,nPreCondition,nDialog,nArgument,repeat,args,dialogs,pres,,,,,
x,y,三八广场,id,1,npc,img,-1,0,3,0,1,这里是三八广场~,你说问为什么叫这个名字？,哈！只是因为在三舍和八舍之间哈,,,,,
x,y,澡堂后边,id,1,npc,img,-1,0,4,0,1,澡堂后面的小路~,晚上从这里走也并不用害怕,因为总有很多情侣在这里出没,地上还有表白时蜡烛燃烧留下的心形印记。,,,,
x,y,文科实验室,id,1,npc,img,-1,0,5,0,1,这里是文科实验楼，游泳池后面鲜有人知的红色房子~,这里有同学们自己做的雕塑陶器,然而有文新同学坦白他们也不知道这里到底是做什么的,顺便告诉你们一个秘密,晚上这里光线很暗，是看星星的好地方~,,,
x,y,建筑与环境学院,id,1,npc,img,-1,0,2,0,1, 这大概是江安最好看的一栋建筑了,不愧是建环学院。,,,,,,
x,y,建筑与环境学院,id,1,npc,img,-1,0,2,0,1,1 熬夜画大图,这里有通宵自习室。,,,,,,
x,y,工程训练中心旁边的空地,id,1,npc,img,-1,0,2,0,1, 据说这里以前是练车场,然而随着商业街的搬迁，它也成为了历史。,,,,,,
x,y,D座,id,1,npc,img,-1,0,3,0,1, 一教D座自习室是学霸聚集地,开放时间最长的教学楼~,期末占座要趁早哦~,,,,,
x,y,贵宾楼,id,1,npc,img,-1,0,3,0,1, 不高山旁具有西式风格的神秘小房子,据说外宾来访的时候可能住在这里,然而现在你会在走廊看见蜘蛛网。,,,,,
x,y,一基楼,id,1,npc,img,-1,0,2,0,1,隐秘而大气，生科，化学以及医科同学的必去之处,在停尸房旁的楼道里弹吉他，是不是很小(zhong)清(kou)新(wei)~？,,,,,,
x,y,二基楼,id,1,npc,img,-1,0,4,0,1,二基楼，充满着阴森气息,路痴千万不要独自进入,一楼永远走不通~,夜晚慎入！,,,,
x,y,不高山,id,1,npc,img,-1,0,2,0,1,四季之际景皆不同,是部门社团素拓的好地方~,,,,,,
x,y,景观水道,id,1,npc,img,-1,0,3,0,1,景观水道平时并没有什么用,不过白鹭停在水中央的时候也会有独特的意境,还是照毕业照的必选之处~,,,,,
x,y,体育馆,id,1,npc,img,-1,0,4,0,1,~,热爱运动的你的必去之处~,只是离宿舍有两公里T_T,据说平时可以蹭校车从体育馆到青春广场，不知道是不是真的,,,,
x,y,不高山,id,1,npc,img,-1,0,1,0,1,在合适的季节你会看到的一大片美美的栀子花~,,,,,,,
x,y,不高山,id,1,npc,img,-1,0,2,0,1,山顶有一颗古老的树,树干那么粗你猜两个人能不能抱过来?,,,,,,
x,y,明远湖,id,1,npc,img,-1,0,4,0,1,(明远湖畔）江安物种最丰富的地方，不知名的鸟类，植物，鱼，还有可爱的小鸭子和白鹭~,没错当然各种昆虫也很多啦,还有,小心有蛇出没！,,,,
x,y,长桥,id,1,npc,img,-1,0,1,0,1,同学，你见过水漫长桥吗？,,,,,,,
x,y,二餐,id,1,npc,img,-1,0,1,0,1,(二餐)这里的煎鸡蛋味道不错~,,,,,,,
x,y,白石桥,id,1,npc,img,-1,0,1,0,1,据说桥洞里的涂鸦不错~,,,,,,,
x,y,白石桥/夜晚,id,1,npc,img,-1,0,1,0,1,风中飘来优美的和声和乐器声,,,,,,,
x,y,行政楼,id,1,npc,img,-1,0,4,0,1,这栋霸气的黑色建筑就是行政楼,在底层你可以打印自己的成绩单,做学生工作的同学可能要经常来这里跑流程了,一定要带齐材料，在老师面前不要慌张哈。,,,,
x,y,行政楼,id,1,npc,img,-1,0,2,0,1,告诉你一个秘密,这就是传说中的综A,,,,,,
x,y,环形大道,id,1,npc,img,-1,0,2,0,1,环校跑的绝佳路线,秋天银杏黄了时候很美~,,,,,,
x,y,一教ABC中间,id,1,npc,img,-1,0,1,0,1,绿色的银杏和金色的银杏都很美~,,,,,,,
x,y,长桥,id,1,npc,img,-1,0,2,0,1,快点走快点走！,一群小黑虫在你的头顶@@,,,,,,
x,y,一餐,id,1,npc,img,-1,0,1,0,1,抬头看看屋顶美丽的小红伞~,,,,,,,
x,y,游泳池,id,1,npc,img,-1,0,1,0,1,26这里是下饺子的地方~,,,,,,,
x,y,水房,id,1,npc,img,-1,0,1,0,1,还记得需要排队打水的日子，现在寝室已经有热水了~,,,,,,,
x,y,综合楼B,id,1,npc,img,-1,0,3,0,1,28绿色的墙壁和高端的教学设备~,走廊还有桌椅可以小组讨论~,上自习的好地方,,,,,
x,y,综B一楼,id,1,npc,img,-1,0,2,0,1,这里的小教室是辩论队的聚集地,大学进什么部门？辩论队是个不错的选择哈,,,,,,
x,y,宿舍区,id,1,npc,img,-1,0,4,0,1,三室一厅是的宿舍是川大特色哦~,你将和12名小伙伴分享两年的寝室时光~,还有一个秘密,围合的男女生分布其实是一个太极八卦图哦。,,,,
x,y,21舍,id,1,npc,img,-1,0,4,0,1,21舍就是西北边最偏僻的宿舍,什么？,你问哪边是北？,上北下南左西右东,,,,
x,y,青广,id,1,npc,img,-1,0,2,0,1,青春广场平时非常热闹,社团、学生会招新和各种演出、比赛的宣传都会在这里,,,,,,
x,y,青广,id,1,npc,img,-1,0,1,0,1,会乐器的同学记得关注一下交响乐团招新哦~,,,,,,,
x,y,周五的校车站,id,1,npc,img,-1,0,2,0,1,排队排队排队,人好多,,,,,,
x,y,,id,1,npc,img,-1,0,2,0,1,听说商业街改造成了学生创业平台,以前好多小吃都没了呢,,,,,,
x,y,,id,1,npc,img,-1,0,1,0,1,还记得江安河畔的夏雨荷吗,,,,,,,
x,y,,id,1,npc,img,-1,0,1,0,1,刚才江安河飘过一只死猪,,,,,,,
x,y,,id,1,npc,img,-1,0,1,0,1,最近总是梦到明远湖变成红色,,,,,,,
x,y,艺术学院,id,1,npc,img,-1,0,2,0,1,艺术学院旁边的艺术码头经常会有各种演出,是文艺青年们的聚集地,,,,,,
